fullmove_number;turn;san;lan;score;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;is_capture_count;attackers;attackers_count;threatened_pieces;threatened_pieces_count;guards;guards_count;guarded_pieces;guarded_pieces_count;threatened_guarded_pieces;threatened_guarded_pieces_count;unopposed_threats;unopposed_threats_count;pawn_ending;rook_ending
1;True;e4;e2-e4;47;20;e4;48;1;0;False;False;False;20;0;;0;;0;a8, b8, c8, d8, e8, f8, g8, h8;8;a7, b7, c7, d7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;14;;0;;0;False;False
1;False;e5;e7-e5;84;20;d6;85;1;1;False;False;False;29;0;;0;;0;a1, b1, c1, d1, e1, f1, h1;7;b1, c1, d1, e1, f1, g1, a2, b2, c2, d2, f2, g2, h2;13;;0;;0;False;False
2;True;Nf3;Ng1-f3;55;29;Nf3;40;15;0;False;False;False;29;0;f3;1;e5;1;a8, b8, c8, d8, e8, f8, h8;7;a7, b7, c7, d7, f7, g7, h7, b8, c8, d8, e8, f8, g8;13;;0;e5;1;False;False
2;False;Nc6;Nb8-c6;82;29;d6;79;3;1;False;False;False;27;1;;0;;0;a1, b1, c1, d1, e1, f1, h1, g2, f3;9;b1, c1, d1, e1, f1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;;0;False;False
3;True;Bb5;Bf1-b5;44;27;Bb5;22;22;0;False;False;False;30;0;b5, f3;2;c6, e5;2;c6, b7, d7, a8, c8, d8, e8, f8, h8;9;e5, c6, a7, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;c6, e5;2;;0;False;False
3;False;a6;a7-a6;114;30;Nf6;91;23;1;False;False;False;32;3;a6;1;b5;1;a1, b1, c1, d1, e1, h1, g2, f3;8;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;b5;1;False;False
4;True;Ba4;Bb5-a4;10;32;Bxc6;28;18;1;False;False;False;32;0;a4, f3;2;c6, e5;2;c6, b7, d7, a8, c8, d8, e8, f8, h8;9;e5, a6, c6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;c6, e5;2;;0;False;False
4;False;Nf6;Ng8-f6;91;32;d6;66;25;1;False;False;False;27;2;f6;1;e4;1;a1, b1, c1, d1, e1, h1, g2, f3, a4;9;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;e4;1;False;False
5;True;O-O;O-O;-4;27;d3;23;27;1;False;False;True;30;1;a4, f3;2;c6, e5;2;c6, f6, b7, d7, g7, a8, c8, d8, e8, f8, h8;11;e5, a6, c6, f6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8;14;c6, e5;2;;0;False;False
5;False;Be7;Bf8-e7;86;30;Nxe4;43;43;2;False;False;False;25;2;f6;1;e4;1;a1, b1, c1, d1, f1, g1, g2, f3, a4;9;b1, c1, d1, f1, g1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;e4;1;False;False
